40.748817,-73.985428
34.052235,-118.243683
51.507351,-0.127758
-33.865143,151.209900
48.856613,2.352222
35.689487,139.691711
-23.550520,-46.633308
55.755825,37.617298
-34.603722,-58.381592
37.774929,-122.419418
28.704060,77.102493
19.432608,-99.133209
-26.204103,28.047305
1.352083,103.819839
-6.208763,106.845599

40° 44' 55.3" N, 73° 59' 08.4" W
34° 03' 08.0" N, 118° 14' 37.2" W
51° 30' 26.5" N, 0° 07' 39.9" W
33° 51' 54.5" S, 151° 12' 35.6" E
48° 51' 23.8" N, 2° 21' 08.0" E
35° 41' 22.2" N, 139° 41' 30.2" E
23° 33' 01.9" S, 46° 38' 00.5" W
55° 45' 21.0" N, 37° 37' 02.3" E
34° 36' 13.4" S, 58° 22' 53.7" W
37° 46' 29.7" N, 122° 25' 09.9" W
28° 42' 14.6" N, 77° 06' 08.8" E
19° 25' 57.4" N, 99° 07' 59.5" W
26° 12' 14.8" S, 28° 02' 50.3" E
1° 21' 07.5" N, 103° 49' 11.5" E
6° 12' 31.5" S, 106° 50' 44.2" E
